10.06.2021                                                                                                                                                                                                                                 Dynamic List Display                                                                                                                                                                                                                                         1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  MANDT|ID_REGISTRO|TIPO_DOCUMENTO|REFERENCIA      |FECHA_DOCUMENTO|MODALIDAD|FECHA_INI_CONTRATO|FECHA_FIN_CONTRATO|COD_COLAB |NOMBRE_COLAB|NIF_COLAB|AGENCIA|SO|SGR|CGR|COMER| COD_CLIENTE|NOMBRE_CLIENTE |NIF_CLIENTE|DATOS_CONTRATO|COD_ALM   |NOMBRE_ALM      |NIF_ALM  |FECHA_CREACION|HORA_CREACION|USUARIO_CREACION|FECHA_MOD |HORA_MOD|USUARIO_MOD|NOTAS_ADICIONALES                                 |DUR_CONTRATO|DUR_SUF|CONTRATO_UNI|CONTRATO_CIMP|PLAZO_NEXC|ABONO_MAN|ABONO_AUT|FECHA_GEN |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  100  |00000000003|CR            |                |               |SM       |26.05.2021        |02.12.2020        |          |            |         |       |  |   |   |     |000000000000|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          05|X      |            |             |          |         |         |          |
|  100  |00000000004|CR            |                |               |SM       |26.05.2021        |13.11.2020        |          |            |         |       |  |   |   |     |000000000000|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          00|       |            |             |          |         |         |          |
|  100  |00000000008|CR            |                |27.05.2021     |SM       |26.05.2021        |19.11.2021        |          |            |         |       |  |   |   |     |000000000000|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          06|X      |            |             |          |         |         |          |
|  100  |00000000009|              |                |06.04.2022     |         |21.04.2021        |12.11.2021        |          |            |         |       |  |   |   |     |000000000000|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          07|X      |            |             |          |         |         |          |
|  100  |00000000010|CR            |                |09.12.2020     |SM       |28.04.2021        |31.08.2021        |          |            |         |       |  |   |   |     |000000000000|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          04|X      |            |             |          |         |         |          |
|  100  |00000000011|CR            |                |26.05.2021     |SM       |14.04.2021        |13.01.2022        |          |            |         |       |  |   |   |     |000000000001|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          09|X      |            |             |          |         |         |          |
|  100  |00000000013|CR            |                |20.05.2021     |SM       |25.06.2020        |16.10.2021        |          |            |         |       |  |   |   |     |000000000002|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          16|X      |X           |             |          |         |         |          |
|  100  |00000000014|              |                |22.04.2020     |MI       |21.04.2021        |11.11.2021        |          |            |         |       |  |   |   |     |000000000001|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          07|X      |X           |             |          |         |         |          |
|  100  |00000000015|CR            |                |31.05.2019     |SM       |14.04.2021        |24.09.2021        |          |            |         |       |  |   |   |     |000000000005|               |           |              |          |                |         |              |00:00:00     |                |          |00:00:00|           |                                                  |          05|X      |X           |             |          |         |         |          |
